,Geo Point,Geo Shape,dlibre,dgenerica_,despecific,regimen,direccion,codpos,telef,fax,mail,distrito,Tipo
143,"39.45976599907404, -0.3838440000000006","{""coordinates"": [-0.383844, 39.45976599907404], ""type"": ""Point""}",CENTRE PRIVAT FP VERGE DE CORTES. SOROLLA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,VERGE DE CORTES. SOROLLA,PRIVADO,"CL. ROIG DE CORELLA, 4",46007,963813644,0,vergedecortesatencionalcliente@gmail.com,Extramurs,FORMACIÓ PROFESSIONAL ESPECÍFICA
144,"39.46589299907401, -0.3833410000000008","{""coordinates"": [-0.383341, 39.46589299907401], ""type"": ""Point""}",CENTRE PRIVAT FP PROGRESA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,PROGRESA,PRIVADO,"CL. PINTOR BENEDITO, 10",46007,963899640,0,progresa@cieep.com,Extramurs,FORMACIÓ PROFESSIONAL ESPECÍFICA
145,"39.45852599907404, -0.35702000000000167","{""coordinates"": [-0.35702, 39.45852599907404], ""type"": ""Point""}",CENTRE SUPERIOR DE MÚSICA BERKLEE-VALENCIA,CENTRE AUTORITZAT SUPERIOR DE MÚSICA,BERKLEE-VALENCIA,PRIVADO,"AV. AUTOPISTA DEL SALER, 1",46013,963332802,0,infovalencia@berklee.edu,Quatre Carreres,MÚSICA
146,"39.485933999073886, -0.3570739999999992","{""coordinates"": [-0.357074, 39.485933999073886], ""type"": ""Point""}",CENTRE PRIVAT FP IBE,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,IBE,PRIVADO,"CL. HERMANOS VILLALONGA, 38",46020,963698714,963698714,info@ibeformacion.es,Benimaclet,FORMACIÓ PROFESSIONAL ESPECÍFICA
147,"39.483457999073885, -0.37704099999999946","{""coordinates"": [-0.377041, 39.483457999073885], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE AMICS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,AMICS,PRIVADO,"CL. VISITACIÓN, 8",46009,963479753,0,escuelainfantilamics@gmail.com,Campanar,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
148,"39.45355899907408, -0.3701879999999995","{""coordinates"": [-0.370188, 39.45355899907408], ""type"": ""Point""}",CENTRE ENSENYAMENTS ESPORTIUS MIFRA,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS,MIFRA,PRIVADO,"AV. DE LA PLATA, 10",46013,619915628,0,palejandre@hotmail.com,Quatre Carreres,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS
149,"39.487529999073864, -0.3612940000000007","{""coordinates"": [-0.361294, 39.487529999073864], ""type"": ""Point""}",CENTRE PRIVAT FP CENTRO DE ESTUDIOS JUSTE,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,CENTRO DE ESTUDIOS JUSTE,PRIVADO,"CL. TORRETA DE MIRAMAR, 2-4",46020,963388974,0,info@cejuste.com,Benimaclet,FORMACIÓ PROFESSIONAL ESPECÍFICA
150,"39.46475799907402, -0.384210000000001","{""coordinates"": [-0.38421, 39.46475799907402], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE PASITOS 2,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,PASITOS 2,PRIVADO,"CL. JESÚS, 59",46007,960059881,0,contacto@escuelapasitos.com,Extramurs,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
151,"39.494304999073826, -0.39096300000000006","{""coordinates"": [-0.390963, 39.494304999073826], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE CASA CARIDAD AVENIDA ECUADOR,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,CASA CARIDAD AVENIDA ECUADOR,PRIVADO,"AV. ECUADOR, 46",46025,961249127,963914360,ceibenicalap@casacaridad.com,Benicalap,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
152,"39.490048999073856, -0.3572410000000016","{""coordinates"": [-0.357241, 39.490048999073856], ""type"": ""Point""}",CENTRE ENSENYAMENTS ESPORTIUS FVCV,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS,FVCV,PRIVADO,"CL. POETA RICARD SANMARTIN, 3",46020,963530120,963534331,fvcv@fvcv.com,Benimaclet,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS
153,"39.467076999073996, -0.3546940000000004","{""coordinates"": [-0.354694, 39.467076999073996], ""type"": ""Point""}",CENTRE ENS. PROFESSIONALS DE MÚSICA EL PARQUE,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA,EL PARQUE,PRIVADO,"AV. PUERTO, 51",46021,963690674,963625117,josemaltes@pcsantaana.com,Pla del Real,MÚSICA
154,"39.466339999073995, -0.4065129999999991","{""coordinates"": [-0.406513, 39.466339999073995], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA SANTA MARÍA,ESCOLA PRIVADA DE MÚSICA,SANTA MARÍA,PRIVADO,"AV. TRES CRUCES, 10",46014,963792355,963837616,escuelamusica@santamariahcm.es,Olivereta,MÚSICA
155,"39.4969439990738, -0.37141599999999986","{""coordinates"": [-0.371416, 39.4969439990738], ""type"": ""Point""}",CENTRE ESTRANGER IMAGINE MONTESSORI SCHOOL,CENTRE DOCENT PRIVAT ESTRANGER,IMAGINE MONTESSORI SCHOOL,PRIVADO,"CL. MELIANA, 5",46019,961071925,0,admin@imaginemontessori.es,Rascanya,CENTRE DOCENT PRIVAT ESTRANGER
156,"39.462340999074016, -0.3910169999999997","{""coordinates"": [-0.391017, 39.462340999074016], ""type"": ""Point""}",CENTRE ENSENYAMENTS ESPORTIUS ANEFF,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS,ANEFF,PRIVADO,"CL. DIBUJANTE MANUEL GAGO, 10-12",46018,652493502,0,valencia@anefescuela.es,Patraix,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS
157,"39.464307999074016, -0.40528499999999995","{""coordinates"": [-0.405285, 39.464307999074016], ""type"": ""Point""}",C. ENS. PROF.DE MUS. MADRE FCA. PASCUAL DOMENECH-LA PURÍSIMA,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA,MADRE FRANCISCA PASCUAL DOMENECH-LA PURÍSIMA,PRIVADO,"AV. TRES CRUCES, 49",46018,963792369,0,lapurisima@hfi.es,Patraix,MÚSICA
160,"39.46942599907398, -0.3534929999999994","{""coordinates"": [-0.353493, 39.46942599907398], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE LA PEQUETECA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,LA PEQUETECA,PRIVADO,"PZ. SAN FELIPE NERI, 5",46021,649864499,0,lapequeteca@outlook.es,Pla del Real,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
161,"39.457913999074044, -0.36156200000000016","{""coordinates"": [-0.361562, 39.457913999074044], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE ESPAI NATURAL,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,ESPAI NATURAL,PRIVADO,"CL. FRAY PEDRO PONCE DE LEÓN, 7",46006,642312200,0,escuelanaturaljorda@gmail.com,L'Eixample,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
162,"39.47814199907393, -0.40705199999999936","{""coordinates"": [-0.407052, 39.47814199907393], ""type"": ""Point""}",CENTRE ESTRANGER VALENCIA MONTESSORI SCHOOL,CENTRE DOCENT PRIVAT ESTRANGER,VALENCIA MONTESSORI SCHOOL,PRIVADO,"AV. PÍO BAROJA, 3",46015,960729708,0,hello@valenciamontessori.org,Benicalap,CENTRE DOCENT PRIVAT ESTRANGER
164,"39.48093999907391, -0.35487599999999997","{""coordinates"": [-0.354876, 39.48093999907391], ""type"": ""Point""}",CENTRE ENSENYAMENTS ESPORTIUS C.F. DE JUDO Y D.A.,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS,CENTRO DE FORMACIÓN DE JUDO Y DISCIPLINAS ASOCIADAS,PRIVADO,CL. DANIEL BALACIART(POL.ESPORT.BENIMA,46020,963920630,0,adm@fvaljudo.es,Benimaclet,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS
165,"39.45861799907405, -0.40538200000000024","{""coordinates"": [-0.405382, 39.45861799907405], ""type"": ""Point""}",CENTRE PRIVAT FP MEDAC VALÈNCIA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,MEDAC VALÈNCIA,PRIVADO,"CL. ARGENTERS, 4",46014,963219999,0,valencia@medac.es,Olivereta,FORMACIÓ PROFESSIONAL ESPECÍFICA
166,"39.48667399907386, -0.3945380000000012","{""coordinates"": [-0.394538, 39.48667399907386], ""type"": ""Point""}",CENTRE PRIVAT FP DE LA PROFESIÓN DE PANADERÍA Y PASTELERÍA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,DE LA PROFESIÓN DE PANADERÍA Y PASTELERÍA,PRIVADO,"AV. GENERAL AVILÉS, 32",46015,963918280,0,secretaria@fegreppa.com,Benicalap,FORMACIÓ PROFESSIONAL ESPECÍFICA
167,"39.43629299907419, -0.3964560000000006","{""coordinates"": [-0.396456, 39.43629299907419], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA SEDAJAZZ,ESCOLA PRIVADA DE MÚSICA,SEDAJAZZ,PRIVADO,"ED. ALQUERIA COCA, 5",46017,963765655,0,info@sedajazz.es,Jesus,MÚSICA
168,"39.47612999907393, -0.3816880000000005","{""coordinates"": [-0.381688, 39.47612999907393], ""type"": ""Point""}",CENTRE ESTRANGER LABA VALENCIA,CENTRE DOCENT PRIVAT ESTRANGER,LABA VALENCIA,PRIVADO,"CL. QUART, 21",46001,963924919,0,contact@labavalencia.net,Ciutat Vella,CENTRE DOCENT PRIVAT ESTRANGER
174,"39.47887099907392, -0.3748980000000003","{""coordinates"": [-0.374898, 39.47887099907392], ""type"": ""Point""}",CENTRE PRIVAT SAGRADO CORAZÓN DE JESÚS -CARMELITAS-,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAGRADO CORAZÓN DE JESÚS -CARMELITAS-,CONCERTADO,"CL. MURO SANTA ANA, 5",46003,963910512,963922768,sagradocorazonvalencia@vedruna.es,Ciutat Vella,D'EDUCACIÓ INFANTIL
175,"39.46335299907402, -0.3672290000000008","{""coordinates"": [-0.367229, 39.46335299907402], ""type"": ""Point""}",CENTRE PRIVAT CENTRO DE ESTUDIOS GARCÍA BROCH,CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA,CENTRO DE ESTUDIOS GARCÍA BROCH,CONCERTADO,"CL. PEDRO III EL GRANDE, 46",46005,963732057,963952320,secretaria@colegiogarciabroch.com,L'Eixample,D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA
176,"39.462985999074014, -0.368760999999999","{""coordinates"": [-0.368761, 39.462985999074014], ""type"": ""Point""}",CENTRE PRIVAT SAN JOSÉ HH. FRANCISCANAS DE LA INMACULADA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN JOSÉ HERMANAS FRANCISCANAS DE LA INMACULADA,CONCERTADO,"CL. DOCTOR SUMSI, 5",46005,963733084,963733084,colegio@sanjosehfi.es,L'Eixample,D'EDUCACIÓ INFANTIL
177,"39.46746399907399, -0.3694129999999995","{""coordinates"": [-0.369413, 39.46746399907399], ""type"": ""Point""}",CENTRE PRIVAT SAN VICENTE FERRER-DOMINICOS,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN VICENTE FERRER-DOMINICOS,CONCERTADO,"CL. ISABEL LA CATÓLICA, 25",46004,963536600,963536601,svferrerv@planalfa.es,L'Eixample,D'EDUCACIÓ INFANTIL
178,"39.464984999074005, -0.3633829999999999","{""coordinates"": [-0.363383, 39.464984999074005], ""type"": ""Point""}",CENTRE PRIVAT SAGRADO CORAZÓN HH.MARISTAS,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAGRADO CORAZÓN HH.MARISTAS,CONCERTADO,"CL. SALAMANCA, 45",46005,963742011,963349783,secretaria@maristasvalencia.com,L'Eixample,D'EDUCACIÓ INFANTIL
179,"39.46016899907404, -0.3629990000000004","{""coordinates"": [-0.362999, 39.46016899907404], ""type"": ""Point""}",CENTRE PRIVAT LICEO CORBI,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",LICEO CORBI,CONCERTADO,"CL. VILLAHERMOSA, 6",46006,963331880,963331880,liceocorbi@hotmail.com,L'Eixample,D'EDUCACIÓ INFANTIL
181,"39.465329999074, -0.38562699999999966","{""coordinates"": [-0.385627, 39.465329999074], ""type"": ""Point""}",CENTRE PRIVAT NUESTRA SEÑORA DEL SOCORRO,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",NUESTRA SEÑORA DEL SOCORRO,CONCERTADO,"CL. SALAS QUIROGA, 9",46007,963841119,963845731,nssv@planalfa.es,Extramurs,D'EDUCACIÓ INFANTIL
182,"39.47375299907396, -0.39371599999999995","{""coordinates"": [-0.393716, 39.47375299907396], ""type"": ""Point""}",CENTRE PRIVAT INMACULADO CORAZÓN DE MARÍA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",INMACULADO CORAZÓN DE MARÍA,CONCERTADO,"CL. GONZÁLEZ MARTÍ, 4",46008,963821350,963859370,direccionicm@icmaria.es,Extramurs,D'EDUCACIÓ INFANTIL
183,"39.46421599907401, -0.40519100000000124","{""coordinates"": [-0.405191, 39.46421599907401], ""type"": ""Point""}",CENTRE INTEGRAT LA PURÍSIMA-FRANCISCANAS,CENTRE INTEGRAT DE MÚSICA I ENS. RÈGIM GENERAL,LA PURÍSIMA-FRANCISCANAS,CONCERTADO,"AV. TRES CRUCES, 49",46018,963792369,963792233,lapurisima@hfi.es,Patraix,CENTRE INTEGRAT DE MÚSICA I ENS. RÈGIM GENERAL
184,"39.468410999073996, -0.4045409999999993","{""coordinates"": [-0.404541, 39.468410999073996], ""type"": ""Point""}",CENTRE PRIVAT NUESTRA SEÑORA DE FÁTIMA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",NUESTRA SEÑORA DE FÁTIMA,CONCERTADO,"CL. JUMILLA, 6",46018,963793568,963594426,secretaria@colegiofatima.net,Patraix,D'EDUCACIÓ INFANTIL
185,"39.48629799907387, -0.38620600000000027","{""coordinates"": [-0.386206, 39.48629799907387], ""type"": ""Point""}",CENTRE PRIVAT MANTELLATE,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",MANTELLATE,CONCERTADO,"CL. MARCHALENES, 80",46009,963494425,963466380,mantellate@planalfa.es,Campanar,D'EDUCACIÓ INFANTIL
186,"39.48559499907388, -0.3750430000000003","{""coordinates"": [-0.375043, 39.48559499907388], ""type"": ""Point""}",CENTRE PRIVAT MERCURIO,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",MERCURIO,CONCERTADO,"CL. RUAYA, 16-18",46009,963472036,963484679,info@colegiomercurio.org,Campanar,D'EDUCACIÓ INFANTIL
187,"39.48354899907388, -0.3874720000000002","{""coordinates"": [-0.387472, 39.48354899907388], ""type"": ""Point""}",CENTRE PRIVAT MARÍA INMACULADA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",MARÍA INMACULADA,CONCERTADO,"CL. RICARDO MICO, 26",46009,963406143,963403106,valenciacmi@gmail.com,Campanar,D'EDUCACIÓ INFANTIL
188,"39.49297199907382, -0.3734600000000013","{""coordinates"": [-0.37346, 39.49297199907382], ""type"": ""Point""}",CENTRE PRIVAT MARÍA AUXILIADORA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",MARÍA AUXILIADORA,CONCERTADO,"AV. DE LA CONSTITUCIÓN, 178",46019,963650850,0,titularvalencia@salesianas.org,Rascanya,D'EDUCACIÓ INFANTIL
189,"39.482836999073896, -0.38572300000000087","{""coordinates"": [-0.385723, 39.482836999073896], ""type"": ""Point""}",CENTRE PRIVAT SAN JUAN BOSCO,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN JUAN BOSCO,CONCERTADO,"CL. GREGORIO GEA, 21",46009,963495539,963495100,sjbosco@live.com,Campanar,D'EDUCACIÓ INFANTIL
190,"39.46730699907398, -0.3263150000000013","{""coordinates"": [-0.326315, 39.46730699907398], ""type"": ""Point""}",CEE PÚB. RUIZ JIMÉNEZ,CENTRE D'EDUCACIÓ ESPECIAL,RUIZ JIMÉNEZ,PÚBLICO,"AV. MEDITERRÁNEO, S/N",46011,961205710,961205711,46010899@edu.gva.es,Poblados Marítimos,CENTRE D'EDUCACIÓ ESPECIAL
191,"39.49154799907384, -0.373888999999999","{""coordinates"": [-0.373889, 39.49154799907384], ""type"": ""Point""}",CENTRE PRIVAT SALESIANOS SAN ANTONIO ABAD,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SALESIANOS SAN ANTONIO ABAD,CONCERTADO,"AV. PRIMADO REIG, 2",46009,963655700,963654819,secretaria.valencia.saa@salesianos.edu,Campanar,D'EDUCACIÓ INFANTIL
192,"39.484070999073886, -0.36185100000000137","{""coordinates"": [-0.361851, 39.484070999073886], ""type"": ""Point""}",CENTRE PRIVAT CLARET,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CLARET,CONCERTADO,"CL. SOLEDAD DOMENECH, 8-12",46020,963694351,963694351,direccion@claretvalenciabenimaclet.com,Benimaclet,D'EDUCACIÓ INFANTIL
193,"39.476145999073935, -0.3647050000000015","{""coordinates"": [-0.364705, 39.476145999073935], ""type"": ""Point""}",CENTRE PRIVAT SAN JOSÉ DE CALASANZ,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN JOSÉ DE CALASANZ,CONCERTADO,"CL. MICER MASCÓ, 5",46010,963690700,963691608,colegio.calasanzval@escolapiosbetania.es,Pla del Real,D'EDUCACIÓ INFANTIL
194,"39.482064999073906, -0.36358599999999985","{""coordinates"": [-0.363586, 39.482064999073906], ""type"": ""Point""}",CENTRE ESTRANGER COLEGIO ALEMÁN DE VALENCIA,CENTRE DOCENT PRIVAT ESTRANGER,COLEGIO ALEMÁN DE VALENCIA,PRIVADO,"CL. JAIME ROIG, 14-16",46010,963690100,963691043,dsvalencia@dsvalencia.org,Pla del Real,CENTRE DOCENT PRIVAT ESTRANGER
195,"39.4817849990739, -0.3294569999999999","{""coordinates"": [-0.329457, 39.4817849990739], ""type"": ""Point""}",CENTRE PRIVAT ESCUELAS PÍAS-MALVARROSA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",ESCUELAS PÍAS-MALVARROSA,CONCERTADO,"CL. GRAN CANARIA, 1",46011,963716277,963724041,colegio.malvarrosa@escolapiosbetania.es,Poblados Marítimos,D'EDUCACIÓ INFANTIL
196,"39.465809999074, -0.332432999999999","{""coordinates"": [-0.332433, 39.465809999074], ""type"": ""Point""}",CENTRE PRIVAT PUREZA DE MARÍA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",PUREZA DE MARÍA,CONCERTADO,"CL. VICENTE GALLART, 25",46011,963712311,963711506,direccion@pmariagrao.org,Poblados Marítimos,D'EDUCACIÓ INFANTIL
197,"39.46147799907402, -0.342852","{""coordinates"": [-0.342852, 39.46147799907402], ""type"": ""Point""}",CENTRE PRIVAT TRAFALGAR,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",TRAFALGAR,CONCERTADO,"CL. RODRIGO PERTEGAZ, 29",46023,963302494,963360873,direccion@colegiotrafalgar.com,Camins al Grau,D'EDUCACIÓ INFANTIL
198,"39.467076999073996, -0.3546940000000004","{""coordinates"": [-0.354694, 39.467076999073996], ""type"": ""Point""}",CENTRE PRIVAT SANTA ANA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANTA ANA,CONCERTADO,"AV. DEL PUERTO, 51",46021,963690674,963625117,secretaria@pcsantaana.com,Pla del Real,D'EDUCACIÓ INFANTIL
199,"39.46971499907397, -0.34168699999999824","{""coordinates"": [-0.341687, 39.46971499907397], ""type"": ""Point""}",CEIP PROFESOR SANTIAGO GRISOLIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PROFESOR SANTIAGO GRISOLIA,CONCERTADO,"CL. RAMON DE CAMPOAMOR, 89",46022,963729577,0,s_grisolia@valencia.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
200,"39.460599999074034, -0.3535360000000009","{""coordinates"": [-0.353536, 39.460599999074034], ""type"": ""Point""}",CENTRE PRIVAT AVE MARÍA DE PEÑARROCHA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",AVE MARÍA DE PEÑARROCHA,CONCERTADO,"AV. FRANCIA, 3",46023,963370000,963372482,secretaria@colavem.com,Camins al Grau,D'EDUCACIÓ INFANTIL
202,"39.47139799907396, -0.40611900000000006","{""coordinates"": [-0.406119, 39.47139799907396], ""type"": ""Point""}",CENTRE PRIVAT SOM ESCOLA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SOM ESCOLA,CONCERTADO,"CL. ARCHENA, 6",46014,963792352,963792352,somescola@somescola.com,Olivereta,D'EDUCACIÓ INFANTIL
204,"39.47007499907398, -0.40960599999999997","{""coordinates"": [-0.409606, 39.47007499907398], ""type"": ""Point""}",CENTRE PRIVAT PUREZA DE MARÍA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",PUREZA DE MARÍA,CONCERTADO,"AV. DEL CID, 142",46014,963791200,963599237,pmariav@planalfa.es,Olivereta,D'EDUCACIÓ INFANTIL
205,"39.465345999074, -0.4088599999999991","{""coordinates"": [-0.40886, 39.465345999074], ""type"": ""Point""}",CENTRE PRIVAT CLARET FUENSANTA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CLARET FUENSANTA,CONCERTADO,"PZ. MURCIA, 9",46014,963791914,963791914,direccion@claretfuensanta.es,Olivereta,D'EDUCACIÓ INFANTIL
206,"39.489825999073865, -0.40248700000000104","{""coordinates"": [-0.402487, 39.489825999073865], ""type"": ""Point""}",CENTRE PRIVAT NIÑO JESÚS,CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA,NIÑO JESÚS,CONCERTADO,"CL. SAN CLEMENTE, 13",46015,963494436,963494436,administracion@colegio-njesus.com,Benicalap,D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA
207,"39.49308799907382, -0.393555","{""coordinates"": [-0.393555, 39.49308799907382], ""type"": ""Point""}",CENTRE PRIVAT MARJO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA,MARJO,CONCERTADO,"CL. PINTOR MATARANA, 3-5",46025,963491314,963491314,colegiomarjo@gmail.com,Benicalap,D'EDUCACIÓ INFANTIL I PRIMÀRIA
208,"39.49617599907381, -0.36849300000000046","{""coordinates"": [-0.368493, 39.49617599907381], ""type"": ""Point""}",CENTRE PRIVAT MARNI,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",MARNI,CONCERTADO,"CL. PADRE VIÑAS, 94",46019,963650198,963650162,marni@colegios-sigloxxi.com,Rascanya,D'EDUCACIÓ INFANTIL
209,"39.478806999073925, -0.3814190000000012","{""coordinates"": [-0.381419, 39.478806999073925], ""type"": ""Point""}",CEIP SANTA TERESA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANTA TERESA,PÚBLICO,"CL. DE L'HORT D'EN CENDRA, 3",46003,962566740,962566741,46012136@edu.gva.es,Ciutat Vella,D'EDUCACIÓ INFANTIL I PRIMÀRIA
210,"39.466306999074, -0.3741040000000004","{""coordinates"": [-0.374104, 39.466306999074], ""type"": ""Point""}",CEIP SAN JUAN DE RIBERA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SAN JUAN DE RIBERA,PÚBLICO,"CL. CIRILO AMORÓS, 3",46004,961207735,961207736,46012151@edu.gva.es,L'Eixample,D'EDUCACIÓ INFANTIL I PRIMÀRIA
211,"39.46019399907405, -0.3603279999999995","{""coordinates"": [-0.360328, 39.46019399907405], ""type"": ""Point""}",CEIP MONTOLIVET,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MONTOLIVET,PÚBLICO,"PZ. PARQUE MONTEOLIVETE, 3",46006,962566700,962566701,46012227@edu.gva.es,L'Eixample,D'EDUCACIÓ INFANTIL I PRIMÀRIA
212,"39.470217999073974, -0.38894700000000054","{""coordinates"": [-0.388947, 39.470217999073974], ""type"": ""Point""}",CEIP TEODORO LLORENTE,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,TEODORO LLORENTE,PÚBLICO,"CL. JUAN LLORENS, 59",46008,961205780,961205781,46012367@edu.gva.es,Extramurs,D'EDUCACIÓ INFANTIL I PRIMÀRIA
213,"39.47412699907394, -0.3358489999999992","{""coordinates"": [-0.335849, 39.47412699907394], ""type"": ""Point""}",CEIP NUESTRA SEÑORA DEL CARMEN,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,NUESTRA SEÑORA DEL CARMEN,PÚBLICO,"CL. AMADÍS DE GAULA, S/N",46022,961205150,961205151,46012598@edu.gva.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
214,"39.465792999074, -0.34179899999999896","{""coordinates"": [-0.341799, 39.465792999074], ""type"": ""Point""}",CEIP JAUME I,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JAUME I,PÚBLICO,"CL. JERÓNIMO MONSORIU, 21",46022,962566650,962566651,46012616@edu.gva.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
215,"39.468753999073975, -0.3373780000000007","{""coordinates"": [-0.337378, 39.468753999073975], ""type"": ""Point""}",CEIP SAN PEDRO,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SAN PEDRO,PÚBLICO,"CL. PEDRO DE VALENCIA, S/N",46022,962566350,962566351,46012631@edu.gva.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
216,"39.47531799907395, -0.32722900000000055","{""coordinates"": [-0.327229, 39.47531799907395], ""type"": ""Point""}",CEIP CAVITE-ISLA DE HIERRO,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CAVITE-ISLA DE HIERRO,PÚBLICO,"AV. MALVARROSA, 2",46011,962566630,962566631,46012641@edu.gva.es,Poblados Marítimos,D'EDUCACIÓ INFANTIL I PRIMÀRIA
